,Título do Artigo (conforme Lista de origem),a (-1),b (0),c (1),d (2),e (3),Total
108,"Trajkova M., Alhakamy A., Cafaro F., Mallappa R., Kankara S.R. Move Your Body: Engaging Museum Visitors with Human-Data Interaction. (2020)",,,X,,,1
109,"Lindley J., Akmal H.A., Pillling F., Coulton P. Researching AI Legibility through Design. (2020) Conference on Human Factors in Computing Sy",,,X,,,1
111,"Koesten L., Simperl E., Blount T., Kacprzak E., Tennison J. Everything you always wanted to know about a dataset: Studies in data summarisat",,,X,,,1
112,"Victorelli E.Z., Dos Reis J.C., Hornung H., Prado A.B. Understanding human-data interaction: Literature review and recommendations for desig",,,,X,,2
113,"Cabitza F., Locoro A., Batini C. Making Open Data more Personal Through a Social Value Perspective: a Methodological Approach. (2020) Inform",,,X,,,1
117,"José Viterbo L.V., Barcellos R., Bernardini F., Salgado L., Trevisan D. Investigating communicability issues in the open data manipulation f",,,,X,,2
121,"Coleti T.A., Corrêa P.L.P., Filgueiras L.V.L., Morandini M. TR-Model. A Metadata Profile Application for Personal Data Transparency. (2020)",,,,,X,3
122,"Lockwood M. An Accessible Interface Layer for Self-Sovereign Identity. (2020) Frontiers in Blockchain, 3, art. no. 609101.",,,,,X,3
127,"De Almeida M.C.G., De Castro Salgado L.C. Investigating Google dashboard's explainability to support individual privacy decision making. (20",,,,,X,3
143,"Coleti T.A., Morandini M., Vilela Leite Filgueiras L., Pizzigatti Correa P.L., de Oliveira I.G., de Barbosa C.R.S.C. Design Patterns to Supp",,,,,X,3
146,"Barreto P., Salgado L., Viterbo J. Assessing the communicability of human-data interaction mechanisms in transparency enhancing tools (2018)",,,,,X,3
160,"Seidelin C., Dittrich Y., Grönvall E. Data work in a knowledge-broker organisation: How cross-organisational data maintenance shapes human d",,,X,,,1
169,"Koesten L.M., Kacprzak E., Tennison J.F.A., Simperl E. The trials and tribulations of working with structured data - A study on information",,,,X,,2
162,"Roberts J., Lyons L. The value of learning talk: applying a novel dialogue scoring method to inform interaction design in an open-ended, emb",,,,X,,2
171,"Hutton L., Henderson T. Beyond the EULA: Improving Consent for Data Mining (2017) Studies in Big Data, 32, pp. 147 - 167.",,,,X,,2
173,"Jones R., Sailaja N., Kerlin L. Probing the design space of usable privacy policies: A qualitative exploration of a reimagined privacy polic",,,,X,,2
174,"Meireles P.E.L.R., Hornung H. Human values in human-data interaction (2016) ACM International Conference Proceeding Series, Part F128046, ar",,,,X,,2
175,"Chowdhury S.N., Dhawan S. HDI based data ownership model for smart cities (2016) 2016 International Conference on Recent Trends in Informati",,,,,X,3
177,Crabtree A. Enabling the new economic actor: Personal data regulation and the digital economy. (2016) Proceedings - 2016 IEEE International,,,,X,,2
,,,,,,,
,,,,,,,
Critério 01,,,11,,,,
Critério 02,,,15,,,,
Critério 03,,,15,,,,
