Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
14,"Kaufmann K., Bork-Hüffer T., Gudowsky N., Rauhala M., Rutzinger M. Ethical challenges of researching emergent socio-material-technological p",X,,,X,X,,X,X,,,,,,,,,,Incluído
15,"Herrmann T., Ackerman M. S., Goggins S. P., Stary C., Prilla M. Designing Health Care That Works—Socio-technical Conclusions (2018) Designin",,,,,,,,,,,,,,,,X,,Excluído
16,"Sala-Vilar L. R., Li-Ying J., Traunecker T. How do innovation intermediaries’ business models cope with their need to develop new digital se",,,,,,,,,,X,,X,,,,,,Excluído
17,"Tendedez H., Ferrario M. A., McNaney R., Gradinar A. Exploring Human-Data Interaction in Clinical Decision-making Using Scenarios: Co-design",,,,,,,,,,,,,,,,,X,Excluído
18,"Bavaresco M. V., D'Oca S., Ghisi E., Lamberts R. Technological innovations to assess and include the human dimension in the building-perform",X,X,,,,X,X,X,,,,,,,,,,Incluído
19,"Mu R., Zhao X. How do institutional dimensions of open government data affect innovation? Evidence from research institutes in China (2024)",,,X,X,,,X,X,,,,,,,,,,Incluído
20,"Seidelin C., Dittrich Y., Grönvall E. Foregrounding data in co-design – An exploration of how data may become an object of design (2020) Int",X,X,,X,,,X,X,,,,,,,,,,Incluído
21,"Malgieri G., Niklas J. Vulnerable data subjects (2020) Computer Law & Security Review.",X,,,,,,X,X,,,,,,,,,,Incluído
22,"Allot A., Chennen K., Nevers Y., Poidevin L., Kress A., Ripp R., Thompson J. D., Poch O., Lecompte O. MyGeneFriends: A Social Network Linkin",,,,,,,,,,,,,,,,,X,Excluído
23,Malgieri G. Automated decision-making in the EU Member States: The right to explanation and other “suitable safeguards” in the national legi,X,X,,,,,X,X,,,,,,,,,,Incluído
24,Janeček V. Ownership of personal data in the Internet of Things (2018) Computer Law & Security Review.,X,X,,,,,X,X,,,,,,,,,,Incluído
25,"Locoro A., Cabitza F., Actis-Grosso R., Batini C. Static and interactive infographics in daily tasks: A value-in-use and quality of interact",,,,,,,,,,,,,,,,,X,Excluído
26,"Velazco-Garcia J. D., Shah D. J., Leiss E. L., Tsekos N. V. A modular and scalable computational framework for interactive immersion into im",,,,,,,,,,,,,,,,X,,Excluído
27,"Victorelli E. Z., Dos Reis J. C., Hornung H., Prado A. B. Understanding human-data interaction: Literature review and recommendations for de",,,,,,,,,,,,,,,,,X,Excluído
28,"Shin D. H., Biocca F. Health experience model of personal informatics: The case of a quantified self (2017) Computers in Human Behavior.",,,,,,,,,,,,,,,,X,,Excluído
29,"Koesten L., Simperl E., Blount T., Kacprzak E., Tennison J. Everything you always wanted to know about a dataset: Studies in data summarisat",,,,,,,,,,,,,,,,,X,Excluído
30,"Koesten L., Gregory K., Groth P., Simperl E. Talking datasets – Understanding data sensemaking behaviours (2021) International Journal of Hu",,,,,,,,,,,,,,,,,X,Excluído
31,"Dix A. Human–computer interaction, foundations and new paradigms (2017) Journal of Visual Languages & Computing.",,,,,,,,,,X,,X,,,,,,Excluído
32,"Chalhoub G., Kraemer M. J., Flechais I. Useful shortcuts: Using design heuristics for consent and permission in smart home devices (2024) In",X,,,X,X,,X,X,,,,,,,,,,Incluído
33,"Kenderdine S., Nicholson J. K., Mason I. Chapter 12 - Modeling People and Populations: Exploring Medical Visualization Through Immersive Int",,,,,,,,,,,,,,,,X,,Excluído
34,"Wolff A., Wermelinger M., Petre M. Exploring design principles for data literacy activities to support children’s inquiries from complex dat",,,,,,,,,,,,,,,,,X,Excluído
35,"Calvetti D., Mêda P., de Sousa H., Gonçalves M. C., Faria J. M. A., da Costa J. M. Experiencing Education 5.0 for Civil Engineering (2024) P",,,,,,,,,,X,,X,,,,,,Excluído
36,"Stacchio L., Garzarella S., Cascarano P., De Filippo A., Cervellati E., Marfia G. DanXe: An extended artificial intelligence framework to an",,,,,,,,,,X,,X,,,,,,Excluído
37,"Scheer J., Volkert A., Brich N., Weinert L., Santhanam N., Krone M., Ganslandt T., Boeker M., Nagel T. Visualization Techniques of Time-Orie",,,,,,,,,,,,,,,,X,,Excluído
38,"Green M. H., Davies P., Ng I. C. L. Two strands of servitization: A thematic analysis of traditional and customer co-created servitization a",,,,,,,,,,X,,X,,,,,,Excluído
39,"Dowthwaite A., Cook D., Cox A. L. Privacy preferences in automotive data collection (2024) Transportation Research Interdisciplinary Perspec",,,,,,,,,,,,,,,,,X,Excluído
40,"Cezar B. G. S., Maçada A. C. G. Cognitive Overload, Anxiety, Cognitive Fatigue, Avoidance Behavior and Data Literacy in Big Data environment",,,,X,X,,X,X,,,,,,,,,,Incluído
41,"Sivarajah Y., Holden E. J., Togneri R., Price G., Tan T. Quantifying target spotting performances with complex geoscientific imagery using E",,,,,,,,,,,,,,,,,X,Excluído
42,"Kaffee L. A., Simperl E. The Human Face of the Web of Data: A Cross-sectional Study of Labels (2018) Procedia Computer Science.",,,,,,,,,,,,,,,,,X,Excluído
43,"Ferreira M., Nunes N., Ferreira P., Pereira H., Nisi V. Connecting audiences with climate change: Towards humanised and action-focused data",X,X,,X,,,X,X,,,,,,,,,,Incluído
44,"El Beheiry M., Doutreligne S., Caporal C., Ostertag C., Dahan M., Masson J. B. Virtual Reality: Beyond Visualization (2019) Journal of Molec",,,,,,,,,,,,,,,,X,,Excluído
45,"Barcellos R., Bernardini F., Viterbo J. Towards defining data interpretability in open data portals: Challenges and research opportunities (",X,X,,X,X,,X,X,,,,,,,,,,Incluído
46,"Clarke S. E. B. 1 - Clothing+embedded technology: Past challenges, future opportunities (2023) Smart Clothes and Wearable Technology.",,,,,,,,,,X,,X,,,,,,Excluído
47,"Bar-Gil O., Ron T., Czerniak O. AI for the people? Embedding AI ethics in HR and people analytics projects (2024) Technology in Society.",,,,,,,,,,X,,X,,,,,,Excluído
48,"Angelopoulos S., Brown M., McAuley D., Merali Y., Mortier R., Price D. Stewardship of personal data on social networking sites (2021) Intern",,X,,X,,,X,X,,,,,,,,,,Incluído
49,"Ipenza J. C. C., Romero N. M. L., Loreto M., Júnior N. F., Comba J. L. D. QDS-COVID: A visual analytics system for interactive exploration o",,,,,,,,,,,,,,,,X,,Excluído
50,"El Beheiry M., Godard C., Caporal C., Marcon V., Ostertag C., Sliti O., Doutreligne S., Fournier S., Hajj B., Dahan M., Masson J. B. DIVA: N",,,,,,,,,,,,,,,,X,,Excluído
51,"Sosunova I., Happonen A., Wolff A., Porras J. Towards a Smarter Waste Management: (2023) International Journal of Social Ecology and Sustain",,,,,,,,,,X,,X,,,,,,Excluído
52,"Shin G., Jarrahi M. H., Fei Y., Karami A., Gafinowitz N., Byun A., Lu X. Wearable activity trackers, accuracy, adoption, acceptance and heal",,,,,,,,,,,,,,,,X,,Excluído
,,,,,,,,,,,,,,,,,,,
INCLUÍDOS,,14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
EXCLUÍDOS,,38,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CRITÉRIO I,,,,,,,,,,,,,,,,,,,
CRITÉRIO J,,12,,,,,,,,,,,,,,,,,
CRITÉRIO K,,,,,,,,,,,,,,,,,,,
CRITÉRIO L,,12,,,,,,,,,,,,,,,,,
CRITÉRIO M,,,,,,,,,,,,,,,,,,,
CRITÉRIO N,,,,,,,,,,,,,,,,,,,
CRITÉRIO O,,,,,,,,,,,,,,,,,,,
CRITÉRIO P,,12,,,,,,,,,,,,,,,,,
CRITÉRIO Q,,14,,,,,,,,,,,,,,,,,
