Tabela síntese - Scopus,,,,,,,,,,,,
(a) n. do estudo,"Citação (Autor et al., Ano)",Título do Artigo (conforme Lista de origem),QP1 - Como a literatura sobre Interação Humano-Dados (IHD) evoluiu em conceito e prática na última década (2014-2024)?,QP2 - Quais são as principais diferenças entre as abordagens teóricas e as implementações práticas relatadas na literatura nos últimos dez anos (2014-2024)?,QP3 - Quais lacunas na pesquisa atual são recorrentemente citadas nos estudos?,"QP4 - Antes da abordagem de IHD, havia alguma abordagem para facilitar o entendimento sobre a gestão de dados em aplicações?",QP5 - Qual é a importância de aplicação da IHD no contexto de Smart City?,,"QPS1 - Quais métodos de avaliação (ex: testes de usabilidade, eye-tracking) são usados para medir a eficácia da IHD?",QPS2 - Quais elementos de sistemas IHD ajudam usuários inexperientes digitalmente a entender melhor os dados?,QPS3 - Os estudos de caso testaram algum framework utilizando IHD?,QPS4 - De que forma fatores etnicos-culturais podem influenciar na forma de aplicação da IHD?
21,"Theys et al., 2024","Theys T., Bourgeus A., Mechant P., De Marez L., Saldien J. Expert Perspectives on UX Design Challenges for Solid-Enabled Personal Data Store","Evolui da gestão de dados centralizada em silos corporativos para um ecossistema descentralizado (Solid) apoiado em cofres de dados pessoais, resgatando a soberania e Agência do Usuário.","A teoria fundamenta o uso de ecossistemas descentralizados (Solid) com alto controle granular do titular. Contudo, a implementação enfrenta um dilema prático grave: garantir plenamente a Agência do Usuário em cofres de dados pessoais sem gerar atrito excessivo (fricção) ou sobrecarga cognitiva na interface.","Falta de padronização em fluxos de consentimento Solid, dificuldade em comunicar conceitos técnicos complexos (como identificadores WebID) e o dilema não resolvido entre oferecer controle granular versus manter a usabilidade da interface.","Imperava o monopólio corporativo de grandes Big Techs (modelo Web 2.0). O padrão era armazenar a informação em silos fechados, inacessíveis e fora de qualquer arquitetura de custódia descentralizada.","Estrutural para a governação descentralizada local, pavimentando a adoção de cofres de dados pessoais operados pelo município ou estado, onde o indivíduo permanece titular absoluto das suas informações de cidadania.",,"Método qualitativo com 12 entrevistas semiestruturadas com especialistas (designers, engenheiros e CEOs), incluindo um exercício de ranking de escolha forçada.","Adota o uso de metáforas familiares de interface (como o símbolo ""@"" no WebID para lembrar e-mails) e padronizações visuais unificadas em fluxos de login para tornar a Autonomia do Usuário cognitivamente mais simples.",O trabalho fundamenta-se inteiramente no framework de IHD de Mortier et al. (2014). Utiliza também a especificação Solid (W3C) como base tecnológica descentralizada.,"Considera aspectos políticos e legais regionais, onde a amostra abrangeu especialistas da Europa, América do Norte e Austrália. Discute a necessidade de construir confiança institucional através da consistência cultural das plataformas."
22,"Theys et al., 2024","Theys T., Haegemans T., Mechant P., Bourgeus A., Saldien J. Solid-Enabled Personal Online Data Stores: Uncovering UX Implications for Online",Migra de arquiteturas opacas para o padrão descentralizado Solid. Utiliza identificadores únicos (WebID) para conferir controlo granular e transparência no acesso a dados entre múltiplas plataformas.,"Embora a teoria da WebID e do padrão Solid promova a descentralização e a custódia do próprio dado, a prática revela forte hesitação e desconfiança dos usuários finais. Isso ocorre pela falta de familiaridade técnica, exigindo que o design foque em legibilidade visual extrema para o cidadão comum.","Escassez de modelos mentais adequados para novas arquiteturas descentralizadas, o que leva os usuários a confundirem cofres de dados pessoais com serviços em nuvem tradicionais (como Dropbox), minando a explicabilidade.","O ecossistema digital promovia a fragmentação opaca, onde os dados pessoais eram retidos por plataformas isoladas, impedindo que os indivíduos tivessem um rastreio mental e técnico de onde a sua informação estava hospedada.","Essencial para centralizar a administração pública de forma não extrativista, desenvolvendo ecossistemas descentralizados (perfis de cidadão) onde a Agência do Usuário media de forma independente a relação entre o Estado e a base civil.",,Testes de usabilidade exploratórios com 10 participantes femininas. Protocolo de think-aloud (pensar em voz alta) com intervenções ativas durante uma tarefa prática.,"Explora analogias verbais familiares (descrever o WebID como ""o endereço único do seu cofre""), além da padronização de terminologias de interação para reduzir o esforço cognitivo no uso de arquiteturas descentralizadas.",Fundamenta-se no framework de Interação Humano-Dados (IHD) de Mortier et al. (2014). Integra também a Lei de Jakob da Experiência do Usuário da Internet.,O estudo foi realizado na Bélgica. Considera o fator social da confiança na marca institucional (como o governo flamengo) como um mitigador essencial de ordem cultural para superar o medo na partilha de dados pessoais.
25,"Burzio & Ferraro, 2024","Burzio G., Ferraro V. CLARIFYING DEFINITIONS: A SCOPING REVIEW OF DATA PHYSICALIZATION IN HUMAN-COMPUTER INTERACTION (2024) Proceedings of t","Expande as representações visuais além dos ecrãs (pixels), adotando materiais interativos e sensoriais (físicos) para materializar a dimensão humana e tornar os dados legíveis no mundo real.","Teoricamente, o objetivo sociotécnico é tangibilizar e humanizar o dado perante a sociedade. Na prática, essa meta é alcançada rompendo o ecrã bidimensional através da Fisicalização de Dados, onde as variáveis são processadas, codificadas e materializadas em representações físicas tridimensionais e interativas.",Falta de consenso na literatura sobre a definição técnica exata de Fisicalização de Dados e profunda negligência no estudo e no design de interação da dinamicidade dos artefatos físicos.,"As abordagens não digitais confinavam-se a esculturas de dados passivas (artísticas) ou mapeamentos visuais em ecrã plano, sem mecanismos cibernéticos de feedback ou feedforward para atualizar o artefacto dinamicamente.","Fundamental para tangibilizar crises silenciosas (como emergências climáticas urbanas e poluição particulada invisível), catalisando a tomada de decisões coletivas nos bairros por intermédio de processos de Fisicalização de Dados.",,"Revisão de escopo (scoping review) de 96 registros, utilizando técnicas de codificação aberta, axial e seletiva para categorizar definições na literatura.","Emprega metáforas corporais e Fisicalização de Dados para que o usuário interaja com variáveis abstratas utilizando competências motoras naturais, materializando informações ambientalmente relevantes através do tato.",Fundamenta-se no framework de IHD de Mortier et al. (2014). Integra também a teoria de Interação Incorporada (Embodied Interaction) de Dourish.,"Considera aspectos éticos e sociais, citando preocupações com vieses de gênero. Menciona a importância histórica e cultural da tangibilização de dados para o ativismo e a participação em decisões coletivas sociais."
26,"Capeleti et al., 2023","Capeleti B.S., dos Santos França J.B., Freire A.P. Heuristic Evaluation of a Publicly Accessible Geoprocessing Platform: Categories of Usabi","Evolui da mera disponibilização de repositórios de dados brutos para uma perspetiva puramente analítica focada na interpretação, colocando o cidadão no centro das decisões algorítmicas.","A teoria postula que as interfaces devem fornecer o contexto da origem do dado para evitar sobrecarga. Na prática governamental brasileira, plataformas de geoprocessamento mineral (P3M) apresentam fluxos de interação fragmentados que quebram a heurística de legibilidade, dificultando o raciocínio até de especialistas.",Limitação das heurísticas de IHD aplicadas a portais de geoprocessamento e falha estrutural dos sistemas em fornecer metadados ou contexto explicativo adequados para apoiar a Literacia de Dados de cidadãos comuns.,"A manipulação geográfica limitava-se à Cartografia Tradicional: as representações espaciais eram geradas de forma técnica e estática, sem considerar a cognição individual ou a interatividade do leitor com as camadas cartográficas.","Pilar estruturante para democratizar a Internet das Coisas (IoT) urbana, garantindo que as medições estatais ambientais e minerais recolhidas se apresentem sob a forma de Dados Abertos Governamentais (ODG) legíveis à população.",,Avaliação heurística colaborativa com a participação de três especialistas em IHC. Classificação de problemas por níveis de severidade (de 0 a 4).,"Sugere o enriquecimento semântico (metadados claros), o uso de instruções contextuais intuitivas e retornos visuais imediatos para orientar cidadãos leigos durante o manuseio desacompanhado de bases públicas de geoprocessamento.",Fundamenta-se nas heurísticas de usabilidade de Molich e Nielsen (1990) e no conjunto de heurísticas para design de componentes de IHD de Victorelli e Reis (2020).,"Foca-se no contexto do Governo do Brasil, especificamente no Serviço Geológico do Brasil. Considera a transparência de dados públicos como fator social essencial para combater desigualdades no planejamento do território nacional."
27,"Lenzi et al., 2024","Lenzi S., Ciuccarelli P., Offenhuber D. Towards a definition of Autographic Sonifications: Listening as an act of knowledge (2024) Proceedin","Transita da sonificação académica estritamente numérica para a sonificação orientada ao design (autográfica), removendo abstrações e comunicando fenómenos diretamente ao ouvinte urbano.","A teoria tradicional da sonificação mapeia relações numéricas de forma abstrata, exigindo que o ouvinte descodifique o som. Na prática, a adoção da sonificação autográfica rompe essa barreira, permitindo a escuta causal direta, onde as características reais do fenómeno acústico se autoinscrevem na perceção do ouvinte.","Carência de diretrizes de design orientadas para a experiência sensorial e material do som urbano, criticando o foco excessivo na decodificação de valores abstratos em detrimento da escuta causal (sonificação autográfica).","A representação acústica de dados confinava-se a lógicas de audificação científica (Parameter Mapping) ou a obras puramente estéticas, onde a matriz sonora era desenhada artificialmente, exigindo descodificação mental complexa.","Vital para auditar a dinâmica metropolitana acústica, permitindo o mapeamento direto de respostas cívicas a emergências de saúde nacional (isolamentos sociais pandêmicos) e de restrições de mobilidade urbana espacial.",,"Análise heurística de 16 casos extraídos do Data Sonification Archive (DSA), validada por correlações entre classificações humanas e automáticas (LDA e Recuperação de Informação Sonora).","Propõe o uso de índices acústicos intuitivos (""escuta causal"", como reverberação e textura do som) aliados a caminhadas sonoras guiadas, substituindo a abstração de gráficos complexos pela percepção auditiva orgânica do ambiente.","Fundamenta-se no framework de Design Autográfico de Offenhuber (2023). Integra também o Aesthetic Perspective Space, os Modos de Escuta de Chion e conceitos de ecoacústica.","Considera contextos de crise social, política e ambiental em locais como Espanha, Amesterdã, Síria e Palestina. Foca em temas transculturais relevantes como violações de direitos humanos usando acústica urbana."
28,"Lenzi et al., 2024","Lenzi S., Özcan E., Mora S., Mazzarello M., Haatveit A., Duarte F. What in the world do we hear? Understanding public and private spaces thr","Avança do cálculo físico ambiental para o desenvolvimento de métricas empáticas (como a Pegada Auditiva), visando medir e comunicar a qualidade acústica de ambientes em Smart Cities.","Teoricamente, o termo ""Pegada Auditiva"" foi cunhado no design para ser um indicador neutro e quantificável da paisagem sonora urbana. Na prática empírica, a expressão carrega um forte viés negativo automático (por alusão à Pegada de Carbono), ofuscando o mapeamento de qualidades afetivas e positivas do ambiente.",Lacuna profunda em testes empíricos de paisagens sonoras em ambientes de vida reais e falta de propostas sólidas para contornar os desafios éticos e de privacidade intrínsecos à captação algorítmica de áudio (escuta de máquinas).,"A gestão acústica em zonas urbanas era baseada na instalação de redes passivas de medição de ruído impulsionadas por leis ambientais. A extração de contexto ocorria retrospetivamente, de forma analógica, sem o envolvimento ativo do transeunte.","Indispensável para regular as infraestruturas de ""cidades com ouvidos"", arbitrando e fiscalizando a implementação maciça de redes algorítmicas de escuta ambiental (Machine Listening) contra invasões massivas de privacidade.",,"Método de design especulativo através da realização de um laboratório (Lab) em conferência, com nove especialistas em sessões fechadas e sessão aberta com 50 investigadores.","Propõe ferramentas de escuta aumentada que ajudam a filtrar ruídos locais e utiliza analogias amigáveis (como ""Pegadas Auditivas"") para traduzir medições acústicas para o léxico experiencial do cidadão.",Fundamenta-se na abordagem ecológica de Gaver sobre a percepção de eventos cotidianos e nas normas ISO 12913 para soundscapes.,"Considera fatores críticos como o risco de 'estigma pelo som' contra comunidades urbanas específicas, evidenciando viés cultural e racismo ambiental. A colaboração geográfica abrange EUA, Holanda, Espanha e Noruega."
32,"De Bettio et al., 2023","De Bettio R.W., Melchiori A.P., Freire A.P., Albuquerque A.C., Aguiar E.H.D.A. Question-based interaction with geolocated data for environme","Evolui de mapeamentos territoriais complexos e manuais para sistemas de interação intuitivos, baseados em linguagem natural, facilitando auditorias governamentais e cívicas.","A teoria propõe que IA e geoprocessamento em tempo real forneçam suporte fluido à investigação. Na prática (como no uso do GeoRadar pelo Ministério Público), investigadores enfrentam um fardo cognitivo monumental devido à seleção manual arcaica de dezenas de camadas cartográficas fragmentadas.",Sobrecarga cognitiva no uso de camadas cartográficas complexas por não-especialistas e a estagnação tecnológica na automação do mapeamento de geodados via Processamento de Linguagem Natural (PLN) em sistemas estatais.,"A gestão de inteligência territorial estava ancorada no uso rígido de Sistemas de Informação Geográfica (SIG). O acesso e sobreposição de camadas requeriam ações exaustivamente manuais, limitadas a operadores treinados nessas plataformas.","Fundamental para a resiliência cívica e proteção ambiental, alinhando mapeamento de geolocalização intuitiva para auditar conflitos de crescimento urbano predatório contra zonas de proteção e biomas locais.",,"Workshop de co-design de três dias com investigadores do MPF e acadêmicos, utilizando protótipos para recolher feedback qualitativo direto.","Substitui a exigência de seleção manual de dezenas de camadas cartográficas sobrepostas por uma interface de busca orgânica pautada em perguntas em linguagem natural, automatizando a vinculação do geodado aos objetivos do usuário.",O trabalho fundamenta-se nos princípios da Interação Humano-Dados (IHD) para desenhar abordagens que facilitem a exploração de dados complexos.,Foca-se na proteção de biomas críticos como a Amazônia e na defesa de direitos sociais. Considera a imensa dimensão do território brasileiro e a cultura regional para o monitoramento sociopolítico de áreas de interesse.
34,"Jordan et al., 2023","Jordan B., Koesten L., Möller T. Chatting about Data - Interacting with Voice Interfaces to Engage with Election Panel Data (2023) Proceedin","Transita da exploração técnica via APIs para a construção de chatbots conversacionais, democratizando o acesso e a legibilidade de Dados Abertos Governamentais (ODG) para leigos.","Teoricamente, chatbots operam como facilitadores de acesso amigável a bases de dados complexas. Na prática, transformar repositórios tabulares de Dados Abertos Governamentais (ODG) em conversas precisas ainda frustra leigos, pois qualquer ambiguidade na resposta da IA quebra a confiança do cidadão no sistema.","Carência de chatbots analíticos capazes de reter histórico contextual em diálogos longos ao interrogar repositórios de Dados Abertos Governamentais (ODG), quebrando a continuidade analítica e o envolvimento cívico.","A busca em bases públicas restringia-se a consultas em interfaces de Programação de Aplicações (APIs) ou portais técnicos que demandavam literacia em linguagem de código, barrando o cidadão comum de acionar o ecossistema Open Data.","Facilita o acesso irrestrito às vastas bibliotecas tabulares de Dados Abertos Governamentais (ODG), implementando chatbots precisos que empoderam qualquer munícipe a fiscalizar despesas públicas ou colaborar ativamente com iniciativas científicas locais.",,Estudo Wizard of Oz com 15 a 30 participantes para avaliar expectativas. Análise de trocas de mensagens (1235 mensagens) para categorizar tipologias de perguntas.,"Implementa chatbots conversacionais em bases de Dados Abertos Governamentais (ODG), unindo gráficos simplificados e respostas textuais em linguagem natural para sanar as barreiras de sintaxe de consulta ou lógica de programação.",Fundamenta-se nas Máximas de Grice (princípios de cooperação na conversa) para informar o design de comportamentos conversacionais analíticos eficazes.,"O estudo focou-se em dados políticos do contexto austríaco, visando envolver cidadãos comuns com dados eleitorais locais para fortalecer a cultura e a literacia democrática regional."
35,"Ranasinghe & Degbelo, 2023","Ranasinghe C., Degbelo A. Encoding Variables, Evaluation Criteria, and Evaluation Methods for Data Physicalisations: A Review (2023) Multimo","Consolida as propriedades físicas tridimensionais (volume, textura, peso) como canais válidos de transmissão de informação, equiparando-as aos tradicionais métodos visuais de dados.","A literatura teórica exalta os benefícios únicos da cognição tátil oferecidos pela Fisicalização de Dados. Na prática, a área sofre com um vácuo metodológico profundo, empregando métricas e questionários tão inconsistentes que é impossível comparar empiricamente a eficácia entre diferentes objetos de design físico.",Inconsistência metodológica na avaliação empírica do impacto tátil e escassez crônica de estudos longitudinais que incorporem canais sensoriais não visuais (como o olfato e paladar) na Fisicalização de Dados.,"As representações tridimensionais operavam numa esfera puramente concetual ou estética, desprovidas de protocolos de avaliação rigorosos oriundos da IHC para atestar a verdadeira usabilidade tátil ou de desempenho cognitivo.","Permite a apropriação comunitária de métricas intangíveis de Smart Cities (níveis de gestão térmica e consumo hidroelétrico), materializando esse Big Data complexo no espaço geográfico para engajamento populacional instintivo.",,"Revisão bibliográfica mapeando o uso de métodos qualitativos (entrevistas, escalas Likert) e quantitativos (tempo de tarefa, precisão da resposta).","Destaca a aplicação de affordances (possibilidades de ação) vindas da Fisicalização de Dados, utilizando pistas físicas naturais como temperatura, peso ou textura para comunicar instantaneamente volumes estatísticos aos leigos.","Propõe um framework que categoriza variáveis de codificação física (geometria, material, topografia) e critérios de avaliação para guiar futuros designs de IHD.","Considera a materialidade como um fator que influencia a partilha social, permitindo que a interpretação seja uma atividade coletiva e situada em um contexto geográfico, comunitário e cultural específico."
37,"Kurze et al., 2023","Kurze A., Köpferl K., Eibl M. Data-I - Interactive Experience of IoT Data: A Practical Tool for IoT Sensor Data in Interdisciplinary Human-C","Evolui de competências estritamente analíticas para a defesa de design e Literacia de Dados, transformando registos passivos em matérias-primas interativas para experiências de utilizador.","A teoria decreta que o letramento tecnológico é premissa básica para a soberania digital. Na prática, a extração invisível promovida por sensores IoT cria uma barreira impenetrável. A Agência do Usuário só se materializa quando o design permite ao cidadão ""ver e sentir"" ativamente o fluxo do dado no instante em que ele é gerado.",Distanciamento nocivo entre a proliferação massiva de hardwares de IoT e a criação de interfaces de IHD que consigam traduzir leituras abstratas e passivas de sensores em Literacia de Dados tangível no quotidiano.,"As ferramentas de IoT concentravam-se nos protocolos de rede e no processamento em nuvem para uso por engenheiros, negligenciando qualquer tipo de legibilidade física que pudesse conectar as métricas locais ao quotidiano dos cidadãos.","Crucial para o empoderamento informacional, equipando os desenhadores urbanos e a comunidade com a Literacia de Dados necessária para compreender como variações triviais de luz, tráfego ou temperatura alimentam as predições inteligentes.",,Implementação pedagógica e observação de uso por estudantes de cursos interdisciplinares. Feedback qualitativo sobre o esforço cognitivo.,"Utiliza painéis de visualização no-code (sem uso de código) que operam em tempo real, garantindo o Letramento em Dados ao estabelecer uma correlação física instantânea entre o manuseio do sensor no mundo real e a alteração da métrica na tela.","Fundamenta-se em frameworks de Letramento em Dados e no conceito de Legibilidade de Dados Pessoais (Personal Data Legibility), utilizando também o Data Ethics Canvas.","Considera que a localização dos sensores influencia a percepção cultural sobre a vigilância. Ao situar sensores em espaços físicos íntimos, o usuário compreende que o dado não é neutro, mas uma representação enviesada do seu contexto social."
39,"Lee-Smith et al., 2023","Lee-Smith M.L., Benjamin J.J., Desjardins A., Funk M., Odom W., Oogjes D., Park Y.-W., Pierce J., Sanches P., Tsaknaki V. Data as a Material","Modifica o conceito ontológico do dado, deixando de tratá-lo como simples métrica utilitária para encará-lo como um ""material de design"" altamente maleável e narrativo.","O paradigma técnico entende o dado como uma métrica fria de otimização utilitária (""meio para um fim""). Na prática do design pós-digital, o dado torna-se uma ""matéria-prima"" altamente maleável e difrativa, explorada para criar narrativas locais subjetivas, efêmeras e humanizadas sobre as cidades.","Exploração quase exclusivamente utilitária e pragmática do dado na academia, deixando uma grande lacuna na investigação do dado como matéria-prima criativa, subjetiva e artesanal para o design urbano.","O tratamento sociológico dos dados estava refém do utilitarismo corporativo: métricas puramente quantitativas e digitais eram usadas para alavancar eficiência, anulando o aspeto material, especulativo e artesanal da informação na cidade.","Fundamental para assegurar a diversidade e preservar as memórias no espaço metropolitano, incentivando o desenvolvimento de narrativas marginais e afetivas que rompam o utilitarismo mecânico imposto pelos planeadores da Smart City.",,Análise de exemplares de design e realização de workshops de cocriação. Avaliação qualitativa e reflexiva focando exploração de protótipos físicos e digitais.,"Adota propriedades artesanais e características analógicas no design de informação, aproximando conceitos abstratos de materiais e formas físicas familiares para apelar às experiências sensoriais da população.","Fundamenta-se no framework teórico de 'Dados como Material', que aplica conceitos do design industrial e do artesanato à IHD. Incorpora o Slow Design.","Discute a importância da subjetividade e localidade. O design deve considerar contextos geográficos específicos, permitindo que os dados reflitam as realidades e as culturas locais, subvertendo a visão de métricas algorítmicas universais."
43,"Meechan, 2023",Meechan D. The Datafication of Education in England: A Children’s Rights-Based Approach to Human Data Interaction Theory (2023) Postdigital,"Transita da conformidade burocrática aos regulamentos de privacidade para uma abordagem baseada em direitos humanos, protegendo grupos vulneráveis (crianças) contra a extração predatória em escolas.","O discurso teórico defende a datificação escolar como motor pedagógico para o aluno. Na prática da EdTech, ocorre o Enclausuramento Digital, criando perfis algorítmicos extrativos e persistentes que engessam as oportunidades futuras das crianças, destituindo pais e alunos da sua soberania e Agência do Usuário.","Ausência crônica de mecanismos de negociabilidade em plataformas educacionais corporativas (EdTech) de uso obrigatório, impedindo sumariamente o exercício soberano da Agência do Usuário e exclusão de dados por crianças.","As salvaguardas para o utilizador eram tratadas apenas como configurações de 'Segurança Cibernética' (caixas de seleção), camuflando a severa assimetria de poder e a extração económica entre empresas e os titulares dos dados.","Evita que plataformas escolares integradas nas cidades se convertam em braços de vigilância invisível infanto-juvenil, reclamando uma infraestrutura educativa blindada contra perfis persistentes através da intransigente Agência do Usuário.",,"Análise crítica de políticas e um framework baseado em direitos. Avaliação não experimental-estatística, focada no impacto sociotécnico qualitativo.","Defende a tradução estrita das políticas de consentimento educacional para uma linguagem visual lúdica e acessível, assegurando que as configurações de privacidade infantil gerem compreensão real e não sejam vistas como mero jargão contratual.","Combina o framework clássico da IHD (Legibilidade, Autonomia do Usuário, Negociabilidade) com o framework da Convenção das Nações Unidas sobre os Direitos da Criança (UNCRC).","Foca no contexto escolar da Inglaterra. Ressalta como a desigualdade socioeconômica e cultural é amplificada pela datificação, onde comunidades mais pobres têm menos poder de negociação frente à vigilância educacional de seus filhos."
47,"Capeleti et al., 2023","Capeleti B.S., Santos C.Q., de Souza J.I., Freire A.P. Usability Evaluation of a Brazilian Dam Safety Data Exploration Platform: A Consolida",Evolui do download passivo de métricas para a estruturação de sistemas responsivos vitais que garantem a legibilidade e a ação cívica em cenários de risco iminente (segurança de barragens).,"A legislação decreta que a transparência de sistemas de risco crítico (como a segurança de barragens) garante o controle cívico. Na prática, falhas graves na aplicação das heurísticas de IHD tornam os painéis ilegíveis, impedindo que cidadãos ameaçados extraiam insights vitais ou tomem ações de evacuação e auditoria.","Falta de adoção de heurísticas de IHD durante a arquitetura de sistemas críticos de geoprocessamento, resultando em interfaces opacas que não suportam a filtragem de risco para os modelos mentais do cidadão leigo.","O controlo de qualidade centrava-se em heurísticas de usabilidade visual genéricas (design de interface), o que se provou insuficiente para mitigar o perigo da má interpretação em domínios críticos cheios de dados cruzados.","Vital para a resiliência a desastres urbanos e monitorização pública, assegurando que painéis críticos que reportam falhas em barragens ou infraestruturas se apresentem com alta legibilidade cívica para facilitar a pronta evacuação.",,Testes de usabilidade com 18 usuários (método Think Aloud) combinados com uma avaliação heurística baseada em 13 heurísticas de IHD propostas na literatura.,"Otimiza recursos clássicos (como filtros intuitivos e painéis interativos) com extrema clareza hierárquica visual e estrutural de navegação, garantindo que populações consigam interpretar os níveis de risco de barragens sem esforço cognitivo.","Fundamenta-se no framework de Heurísticas para Interação Humano-Dados (especificamente as recomendadas por Victorelli et al., 2020).",Situado no contexto brasileiro (análise de barragens). Considera a vulnerabilidade geográfica e como a apresentação de painéis de dados de risco impacta o senso de urgência e segurança das culturas e comunidades locais ribeirinhas.
52,"Grace & Haddock, 2023","Grace D., Haddock B. Innovative Assessment Using Smart Glasses In Further Education: HDI Considerations (2023) Postdigital Science and Educa","Expande o processamento de dados da terceira pessoa (vigilância em vídeo) para a primeira pessoa, utilizando wearables visuais para integrar o corpo ao fluxo informacional ativo.","Os princípios de IHD determinam a transparência contínua durante a captura de dados. Na prática laboratorial e industrial, o uso de óculos inteligentes (AR) para captura em primeira pessoa ocorre tão rápido que os pares não conseguem perceber o processamento biométrico, exigindo displays de feedback para manter a negociabilidade.","Ausência de ferramentas síncronas de negociabilidade para wearables head-mounted (câmeras de primeira pessoa), ignorando como a vigilância invisível mascara abusos de privacidade e inibe o comportamento natural de terceiros.",Os modelos de observação biológica exigiam preenchimento humano analógico e retrospetivo ou exames laboratoriais passivos. A automação não englobava fluxos síncronos da ação corporal em primeira pessoa.,"Prepara a classe trabalhadora para atuar em complexos logísticos metropolitanos e ecossistemas empresariais profusamente monitorizados, forjando na sociedade o pressuposto civil de reivindicar permanentemente a devida Agência do Usuário.",,"Estudo de caso qualitativo com observação participante, análise de vídeo capturado por óculos inteligentes e entrevistas reflexivas.","Integra a Realidade Aumentada (RA) com o uso de luzes e avisos gráficos ostensivos no próprio corpo dos óculos inteligentes, sinalizando didaticamente o momento do processamento de dados para observadores e terceiros no entorno.","Aplica o framework de Mortier et al. (2014), focando especificamente na tensão entre a captura automática de dados e o direito à negociabilidade do sujeito.","Situado em instituições no Reino Unido, destacando como tecnologias avançadas podem criar novas formas de vigilância institucional que colidem e causam atrito com as culturas locais de trabalho e educação profissional."
53,"Jandrić & Hayes, 2023","Jandric´ P., Hayes S. Social Participation in a Postdigital–Biodigital Age (2023) Palgrave Studies in Educational Media.","Introduz a viragem ""biodigital"" na IHD, transferindo o debate sobre gestão de ficheiros na nuvem para a defesa urgente da integridade corporal (neurodados) perante a biopolítica algorítmica.","A teoria clássica de IHD constrói modelos para gerir a Agência sobre repositórios digitais. Na prática das tecnologias de ""viragem biodigital"" (e crises como a pandemia), constata-se a remoção sumária do poder de veto do cidadão, que perde o direito de negociar as fronteiras do seu próprio corpo contra a biopolítica algorítmica.","Lacuna metodológica sobre como proteger a Agência de Ação em ambientes biopolíticos pós-digitais, onde inferências extraídas a partir de neurodados limitam liberdades civis sem abrir canais para o direito de resposta e oposição.","O discurso sobre exclusão debruçava-se sobre dados comerciais em papel ou algoritmos de texto na internet. Essa lógica pré-digital mostrou-se inútil para travar o surgimento do biopoder, onde a vida é codificada antes de se gerar o serviço.","Absolutamente imperativa para reconquistar a negociação cívica contra a ""governança biopolítica"" nas cidades inteligentes, travando o controlo institucional unilateral motivado por justificações como pandemias ou vigilância escolar compulsória.",,"Análise teórica e crítica de tendências tecnológicas e sociais, avaliando frameworks literários perante a biopolítica.","Exige que a interface abandone o foco restrito nas minúcias técnicas algorítmicas, focando em evidenciar explicitamente ao usuário os impactos políticos e os desdobramentos biossociais práticos gerados pela coleta do seu dado para estimular a Autonomia do Usuário.","Adota o framework de Interação Humano-Dados (IHD), cruzando-o com teorias de biopolítica e sociologia pós-digital para analisar a perda de autonomia no século XXI.","Discute como a datificação global das Big Techs ignora contextos culturais locais, criando uma 'normatividade algorítmica' (um padrão único) que penaliza e encarcera digitalmente as minorias que fogem aos padrões dominantes."
54,"Refat et al., 2023","Refat N., Patwary M., Rahman M.A. Digital Inclusion Towards e-Governance: Challenges and Issues (2023) Postdigital Science and Education (Ne","Transita das políticas básicas de conectividade de internet para o foco no desenvolvimento da Literacia de Dados, garantindo o entendimento cívico sobre os serviços de governação eletrónica.","Teoricamente, os sistemas algorítmicos de e-governance prometem otimizar os serviços cívicos. Na realidade, a falta de IHD e Literacia de Dados na base da população agrava a desvantagem digital, convertendo os serviços em caixas-pretas institucionais que aprofundam a exclusão em regiões periféricas.","Descompasso sistêmico entre as políticas governamentais de capacitação tecnológica (focadas apenas em hardware/internet) e a urgência de uma verdadeira Literacia de Dados, deixando populações reféns de inferências algorítmicas estatais.","As métricas estatais aferiam o sucesso das políticas sociais unicamente pela 'inclusão digital' crua (acesso à infraestrutura de internet e telemóveis), presumindo falsamente que estar ligado online garantia literacia técnica sobre os fluxos.","Determina que os serviços digitais governamentais (e-governance) não podem aprofundar desigualdades regionais em comunidades em vias de desenvolvimento cívico, requerendo da tecnologia a transparência algorítmica exata em conjunto com Literacia de Dados.",,"Análise qualitativa e documental baseada em políticas públicas de inclusão no Reino Unido, sob a lente dos pilares da IHD.","Prescreve a exibição transparente e simples do fluxo de vida do dado nas plataformas governamentais, focando na legibilidade para garantir que grupos com desvantagem digital consigam deliberar criticamente antes de usar serviços eletrônicos de Estado","Adota explicitamente o framework de Interação Humano-Dados (IHD) de Mortier et al. (2014), focando na tríade Legibilidade, Autonomia do Usuário e Negociabilidade.","Foca no contexto de Wolverhampton (UK), analisando como as disparidades históricas, socioeconômicas e de etnia locais influenciam negativamente o acesso a serviços públicos, exigindo um Letramento em Dados culturalmente situado."
